ATP Test Case ID,YAML File Name,Test Name,Flow Type,Excel Step Count,ATP Steps,ATP Expected

CA_01,CA_01 - Enter camera mode.yaml,CA_01 - Enter camera mode,Camera,6,Open app through gallery then verify camera UI,User should be able to open the app's camera from the gallery

CA_02,CA_02 - Open camera go back to gallery.yaml,CA_02 - Open camera go back to gallery,Camera,3,"1. Open app → 2. Tap camera icon (bottom-right) → 3. Tap return (top-left)",User should be able to open the app camera and go back to gallery

CA_03,CA_03 - Capture with no flash.yaml,CA_03 - Capture with no flash,Camera,4,Open camera → flash off → capture,User should be able to capture images with flash disabled

CA_04,CA_04 - Capture with flash enabled.yaml,CA_04 - Capture with flash enabled,Camera,4,Open camera → flash on → capture,User should be able to capture images with flash enabled

CA_05,CA_05 - Capture with flash set to auto.yaml,CA_05 - Capture with flash set to auto,Camera,4,Open camera → flash auto → capture,User should be able to capture images with automatic flash

CA_06,CA_06 - Change to front facing camera.yaml,CA_06 - Change to front facing camera,Camera,3,Open camera → flip to front camera,User should be able to switch to the front facing camera

CA_07,CA_07 - Capture using front camera with no flash.yaml,CA_07 - Capture using front camera with no flash,Camera,5,Open camera → front camera → flash off → capture,User should be able to capture using the front facing camera with flash disabled

CA_08,CA_08 - Capture using front camera with flash enabled.yaml,CA_08 - Capture using front camera with flash enabled,Camera,5,Open camera → front camera → flash on → capture,User should be able to capture using the front facing camera with flash enabled

CA_09,CA_09 - Capture using front camera with flash set to auto.yaml,CA_09 - Capture using front camera with flash set to auto,Camera,5,Open camera → front camera → flash auto → capture,User should be able to capture using the front facing camera with auto flash

CA_10,CA_10 - Open captured image.yaml,CA_10 - Open captured image,Camera,3,Open camera → capture → open thumbnail,User should be able to open the captured image

CA_E01,CA_E01 - Camera with permission denied.yaml,CA_E01 - Camera with permission denied,Camera,3,Open camera on test device with auto-granted permissions,Camera opens when permissions are already granted

CA_E02,CA_E02 - Rapid photo capture.yaml,CA_E02 - Rapid photo capture,Camera,5,Open camera → capture 3× → verify camera still open,User should be able to capture multiple photos rapidly

CA_E03,CA_E03 - Camera with low storage.yaml,CA_E03 - Camera with low storage,Camera,3,Open camera → capture → verify storage error,When storage is full capturing shows an error

CA_E04,CA_E04 - Rapid camera switching.yaml,CA_E04 - Rapid camera switching,Camera,5,Open camera → flip 3× → verify controls,User should be able to switch cameras repeatedly

